x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
8,51,-0.0592972,0.00160348,1.59358,3.5489
7,55,0.126205,0.00222168,1.57522,3.54889
18,50,-0.00993196,0.000798586,1.41893,3.54801
6,46,0.0867056,0.00457782,1.60497,3.54755
9,76,-0.007973,0.00073071,1.73942,3.54739
0,19,-0.187575,9.67E-05,1.98683,3.54693
13,97,-0.207341,0.00133575,1.74209,3.54496
14,26,-0.319833,0.000163196,1.84357,3.54418
5,1,0.00414502,9.14E-07,1.88961,3.54139
10,41,0.150631,0.00505608,1.80279,3.53445
14,20,-0.082941,1.69E-05,1.88473,3.5332
15,21,-0.245013,2.18E-05,1.84821,3.53016
16,38,-0.800239,0.00090709,1.93608,3.52969
12,102,-0.405797,0.000156911,1.60539,3.5286
19,98,-0.174731,0.00112645,1.71102,3.52679
14,72,-0.273678,0.00455881,1.85034,3.51548
15,37,-0.171918,0.000169767,1.71101,3.50249
4,70,0.071827,0.000924386,1.67869,3.49616
15,26,-0.554248,0.000517745,1.80897,3.49584
3,71,0.319791,0.000313633,1.68285,3.49525
0,98,-0.289795,0.00448303,1.66097,3.49261
6,1,-0.000207672,5.94E-07,1.86549,3.4924
12,104,-0.00950089,9.99E-05,1.57688,3.49059
11,101,-0.0071338,0.000321879,1.50921,3.48958
8,75,-0.021487,0.000372493,1.65602,3.48952
17,37,-0.643995,0.000668516,1.76266,3.48408
0,18,0.0223846,0.000137295,1.90617,3.4833
13,20,-0.0546789,0.000121705,1.84342,3.4803
18,81,0.252692,0.00176654,1.56852,3.47996
3,14,0.0455248,1.66E-06,1.88646,3.47693
5,62,-0.111732,0.000475919,1.58279,3.4741
7,56,-0.44175,0.00167271,1.55229,3.47236
17,103,-0.0230322,0.000252116,1.70545,3.46624
1,17,-0.749584,0.000160077,1.9113,3.46268
4,14,-0.0682119,2.37E-06,1.85531,3.45248
0,40,-0.066375,0.00587972,1.64529,3.45179
6,50,-0.195458,0.0015081,1.59225,3.45127
17,91,-0.190492,0.00482849,1.63775,3.45113
7,16,-0.0230203,6.78E-05,1.88676,3.45043
0,53,-0.787921,0.000511967,1.5752,3.44709
6,76,-0.405091,0.000723669,1.71174,3.44675
16,81,-0.208871,0.00207647,1.70577,3.44344
22,99,-0.0744318,0.00375238,1.59912,3.43952
13,104,0.00378435,0.000372556,1.61658,3.43063
2,61,0.531887,0.000675835,1.54537,3.42919
1,48,-1.09602,0.000429396,1.63643,3.42645
14,22,-0.145338,1.93E-05,1.79052,3.42245
19,79,-0.359277,0.00164451,1.56484,3.41582
12,22,-0.39783,1.85E-05,1.79647,3.41331
16,34,-0.522073,0.000345168,1.62742,3.40299
11,79,-0.425213,0.00159885,1.88806,3.40125
9,22,-0.0598687,4.66E-05,1.8477,3.40122
5,2,-0.0030653,3.92E-07,1.83585,3.40014
5,51,-0.122554,0.00204574,1.55347,3.39638
22,15,-0.119065,2.46E-05,1.87521,3.39597
2,16,0.153347,5.09E-05,1.82836,3.39468
6,51,0.488403,0.00210065,1.49847,3.39365
15,20,-0.0667146,6.23E-05,1.80213,3.39345
5,15,0.00245275,1.40E-05,1.82217,3.39303
2,79,-0.680795,0.000194159,1.79888,3.39174
0,68,-0.689961,9.86E-05,1.64041,3.39071
21,68,-0.727597,0.000271893,1.61702,3.3896
11,83,-0.304604,0.00151594,1.7991,3.38907
3,16,0.305918,3.61E-05,1.8566,3.3889
4,2,0.009314,4.45E-07,1.82332,3.38681
18,96,-0.216653,0.0023298,1.6414,3.3851
11,21,0.215488,6.01E-05,1.81368,3.3839
3,1,-0.00357815,2.97E-06,1.82283,3.38344
10,0,6.79228,9.85E-06,1.8591,3.38175
17,32,-0.428944,0.000518061,1.60669,3.37855
6,2,-0.000659151,1.42E-06,1.8311,3.37785
18,102,-0.0383828,0.000225577,1.66143,3.3776
20,38,-0.0313261,0.00508071,1.48085,3.37673
1,78,-0.0232647,0.000240524,1.80679,3.36947
